Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Онищенко,Василь,Назарович,Чоловіча,1996-01-09,Кушнір,Дружба ,"проспект Молодіжна, буд. 016, Герца, 18256",005-02-19,rtsiutsiura@example.net
Авдєєнко,Пантелеймон,Стефанович,Чоловіча,2003-06-21,Маркетолог,Чорнобиль,"шосе Щоголєва, буд. 67 кв. 660, Білицьке, 21985",+380 99 645 61 53,vadymzinchenko@example.org
Жученко,Лесь,Гордійович,Чоловіча,2009-06-25,Кінокритик,Молочанськ,"провулок Тираспольська, буд. 387, Ананьїв, 29984",+380 15 897-26-82,omelianchaban@example.net
Андрійович,Сніжана,Вʼячеславівна,Жіноча,2016-09-01,Флорист,Зоринськ,"шосе Бодаревського, буд. 5 кв. 7, Жовква, 32931",982 17 52,ievariabovil@example.com
Комар,Климент,Прохорович,Чоловіча,1993-06-30,Кухар,Тернівка ,"вулиця Агрономічний, буд. 766 кв. 92, Черкаси, 32657",766-32-42,bohuslavamykhailiuk@example.org
Хомик,Михайло,Юстимович,Чоловіча,1984-10-03,Зоолог,Баштанка,"узвіз Крилова, буд. 877 кв. 730, Добропілля, 69355",003 266 50 65,mykhailohuz@example.com
Гайворонська,Галина,Андріївна,Жіноча,1974-11-10,Зоолог,Бершадь,"провулок Кримська, буд. 852 кв. 37, Ізюм, 35135",+380 (41) 383-52-83,iermolenkomartyn@example.org
Колесниченко,Альбіна,Гаврилівна,Жіноча,2001-02-19,Дантист,Гола Пристань,"провулок Круговий, буд. 24, Барвінкове, 31953",+380 76 675 73 69,milena12@example.net
Аврамчук,Михайло,Панасович,Чоловіча,1983-05-20,Випробувач,Географія Вільнянська,"парк Тупиковий, буд. 056, Вижниця, 52754",+380 61 814 55 31,klavdiiaiaremko@example.com
Сомко,Леонтій,Панасович,Чоловіча,1998-05-30,Професор,Добропілля,"парк Степний 2-й, буд. 807 кв. 5, Волочиськ, 11717",+380 48 178-07-81,kamillasirchenko@example.com
Батюк,Вікторія,Устимівна,Жіноча,1982-01-28,Локсмайстер,Остер ,"сквер Фестивальний, буд. 4, Молочанськ, 60886",+380 42 964-18-29,bohuslava87@example.net
Величко,Орест,Євгенійович,Чоловіча,2009-02-20,Драматург,Рава-Руська,"проспект Селекційна, буд. 88, Бориспіль, 90366",083 349-40-43,gdziuba@example.net
Чаленко,Сніжана,Варфоломіївна,Жіноча,1970-11-02,Програміст,Сквира,"площа Желябова, буд. 4, Яремче, 66402",+380 (11) 942-89-92,eduard60@example.org
Шеремета,Оксенія,Германівна,Жіноча,1983-07-14,Психолог,Марганець ,"вулиця Фонтанська дорога, буд. 20 кв. 946, Новомиргород, 13469",+380 (05) 334-14-36,andriichukillia@example.org
Запорожець,Омелян,Гордійович,Чоловіча,1988-03-15,Слідчий,Бережани,"провулок Вапняний 2-й, буд. 365, Молодогвардійськ, 73276",089 012 32 37,khoma61@example.org
Хорішко,Леонтій,Святославович,Чоловіча,1993-11-29,Правник,Бахмут,"шосе Селищний, буд. 984, Вашківці, 43318",+380 48 477-64-35,andrusenkobohuslav@example.net
Хорішко,Захар,Миронович,Чоловіча,1974-10-26,Дантист,Синельникове,"шосе 7-ма Лінія Дачі Ковалевського, буд. 7 кв. 39, Скадовськ, 01254",164 46 46,nkolodub@example.net
Давимука,Георгій,Варфоломійович,Чоловіча,1988-09-01,Філолог,Вилкове,"вулиця Яблочкіної, буд. 431, Бахмач, 65893",+380 12 007-96-58,dupliihordii@example.org
Свистун,Антон,Тарасович,Чоловіча,1982-01-03,Мікробіолог,Боярка,"вулиця 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 8, Львів, 77937",+380 98 888 51 87,violettaartymyshyna@example.net
Данильчук,Ілля,Богуславович,Чоловіча,1972-12-01,Астронавт,Боково-Хрустальне,"вулиця Хімічна, буд. 0 кв. 998, Мирноград, 21203",+380 (94) 940-51-49,kamillaadamchuk@example.com
Гречко,Мілена,Григоріївна,Жіноча,1975-10-11,Вчитель,Ровеньки,"проспект Глазунова, буд. 176 кв. 3, Баранівка, 83183",+380 57 869-01-63,iakymchukandrii@example.com
Лаба,Максим,Кирилович,Чоловіча,1971-08-12,Лікар,Заставна,"парк Супутників, буд. 2, Підгайці, 91120",416-16-04,borys81@example.com
Власенко,Василина,Феофанівна,Жіноча,2004-02-20,Няня,Кременець,"набережна Аркаса Миколи, буд. 4, Костянтинівка, 85518",242-74-74,arsenzatovkaniuk@example.org
Щорс,Мирон,Симонович,Чоловіча,1992-02-20,Палеонтолог,Одеса,"площа Самарська, буд. 7 кв. 27, Євпаторія, 79055",096 440 93 14,givasiuk@example.com
Швачка,Михайлина,Максимівна,Жіноча,2009-07-24,Письменник,Кальміуське,"узвіз Кришталева, буд. 3, Білогірськ, 93577",+380 63 972-61-41,mykhailovashchenko-zakharchenko@example.org
Гайденко,Ростислав,Петрович,Чоловіча,1975-09-15,Агроном,Рені,"узвіз Злакова, буд. 80, Борзна, 33780",+380 83 687-44-15,faleksandrenko@example.net
Бандура,Ярема,Ростиславович,Чоловіча,1971-02-08,Науковець,Нова Одеса,"шосе Вапняний 2-й, буд. 456, Сіверськ, 97066",054 237 42 24,nazargalagan@example.net
Ґжицький,Олег,Павлович,Чоловіча,1972-12-17,Літературознавець,Гірське,"парк 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 532, Мар'їнка, 14852",520 55 83,serhii34@example.net
Червоненко,Омелян,Георгійович,Чоловіча,1993-04-11,Модельєр,Шепетівка,"площа Ліверпульський, буд. 927, Новоукраїнка, 12794",+380 (33) 345-50-97,vyshniakiakiv@example.net
Редько,Аркадій,Микитович,Чоловіча,2021-10-11,Кінолог,Старобільськ,"площа Архітектурна, буд. 885 кв. 85, Харцизьк, 60281",096 065 60 98,solomonzabila@example.com
Чуйко,Орхип,Алевтинович,Чоловіча,1998-07-06,Палеонтолог,Кролевець,"парк Аеропортівська, буд. 6, Гола Пристань, 09390",327 31 59,maryna14@example.org
Гаврилів,Лесь,Панасович,Чоловіча,1991-05-15,Адвокат,Знам'янка,"узвіз Соляний 6-й, буд. 06 кв. 7, Вознесенськ, 04649",+380 03 819-77-87,olena59@example.net
Данилюк,Василина,Спасівна,Жіноча,1994-05-11,Державний службовець,Покровськ,"вулиця Відважних, буд. 367 кв. 26, Носівка, 19008",+380 39 549 71 11,demiandanylenko@example.net
Жук,Ольга,Соломонівна,Жіноча,1975-04-07,Пілот,Южноукраїнськ,"набережна Східчастий 4-й, буд. 00, Миколаївка , 02878",+380 (59) 201-46-64,tokarihnat@example.net
Матвієнко,Мілена,Германівна,Жіноча,2016-04-22,Швачка,Тальне,"парк Сонячна, буд. 31 кв. 9, Ямпіль, 77407",260 42 35,petro43@example.org
Аронець,Веніямин,Святославович,Чоловіча,2021-12-04,Хімік,Дунаївці,"узвіз Льва Толстого, буд. 62 кв. 370, Павлоград, 54729",063 135-27-10,valentynshapoval@example.net
Байдак,Єлисей,Владиславович,Чоловіча,1980-08-15,Фармацевт,Дружба ,"шосе Бернардацці, буд. 01, Немирів, 77985",+380 32 282 25 51,atroshchenkoanton@example.com
Вакарчук,Орися,Амвросійовна,Жіноча,1986-01-22,Бізнесмен,Мирноград,"проспект Проїзний 3-й, буд. 55, Бібрка, 31046",176-74-23,olena93@example.org
Тиха,Тереза,Степанівна,Жіноча,1983-02-09,Краєзнавець,Луганськ,"парк Воронцовський, буд. 682 кв. 508, Винники, 34763",+380 (27) 349-41-19,oleksandrgerega@example.net
Михайлюк,Йосип,Орестович,Чоловіча,2008-04-07,Пекар,Новогродівка,"площа Лїнія 1-ша, буд. 11, Бердянськ, 73957",+380 16 364-33-93,solomon45@example.com
Гресь,Єва,Францівна,Жіноча,2016-01-05,Гінеколог,Хуст,"набережна Білоруська, буд. 4 кв. 86, Буринь, 69938",723-56-65,orkhyp05@example.org
Демʼянчук,Леон,Федорович,Чоловіча,1971-12-31,Дипломат,Нововолинськ,"проспект Єлисаветградський, буд. 6, Вільнянськ, 87904",010 719 35 04,herman44@example.org
